Customer_ID,Name,Email,Phone,Address,City,State,Zipcode,Country,Age,Gender,Income,Customer_Segment
37249,Michelle Harrington,Ebony39@gmail.com,1414786801,3959 Amanda Burgs,Dortmund,Berlin,77985,Germany,21.0,Male,Low,Regular
69749,Kelsey Hill,Mark36@gmail.com,6852899987,82072 Dawn Centers,Nottingham,England,99071,UK,19.0,Female,Low,Premium
30192,Scott Jensen,Shane85@gmail.com,8362160449,4133 Young Canyon,Geelong,New South Wales,75929,Australia,48.0,Male,Low,Regular
62101,Joseph Miller,Mary34@gmail.com,2776751724,8148 Thomas Creek Suite 100,Edmonton,Ontario,88420,Canada,56.0,Male,High,Premium
27901,Debra Coleman,Charles30@gmail.com,9098267635,5813 Lori Ports Suite 269,Bristol,England,48704,UK,22.0,Male,Low,Premium
41289,Ryan Johnson,Haley12@gmail.com,3292677006,532 Ashley Crest Suite 014,Brisbane,New South Wales,74430,Australia,58.0,Female,Medium,Premium
97285,Erin Lewis,Arthur76@gmail.com,1578355423,600 Brian Prairie Suite 497,Kitchener,Ontario,47545,Canada,29.0,Female,Low,New
26603,Angela Fields,Tanya94@gmail.com,3668096144,237 Young Curve,Munich,Berlin,86862,Germany,29.0,Male,Medium,Premium
80175,Diane Clark,Martin39@gmail.com,6219779557,8823 Mariah Heights Apt. 263,Wollongong,New South Wales,39820,Australia,46.0,Male,Medium,New
31878,Lori Bell,Jessica33@gmail.com,6004895059,6225 William Lodge,Cologne,Berlin,64317,Germany,25.0,Male,Medium,New
19136,Jonathan Eaton,Mark38@gmail.com,2996714102,9772 Sosa Coves,Portsmouth,England,59280,UK,64.0,Female,Low,Regular
66883,Brianna Oconnor,David47@gmail.com,9398168800,95471 Jerry Hollow Suite 034,Portsmouth,England,91253,UK,31.0,Female,Medium,Regular
31930,Kristine Williams,Charles29@gmail.com,1822767586,60629 Jones Villages,Portsmouth,England,38173,UK,56.0,Female,Medium,Regular
74671,Felicia Brown,Laura72@gmail.com,8869644441,381 Richard Plaza,Portsmouth,England,32061,UK,53.0,Female,Medium,Regular
98300,Andrew Guzman,Eric76@gmail.com,2923044936,470 Rodriguez Estate Suite 564,Portsmouth,England,5259,UK,32.0,Female,High,Regular
64995,Justin Lara,Jacob26@gmail.com,2683281702,3577 Cole Stream Apt. 351,Portsmouth,England,9845,UK,43.0,Male,Medium,Regular
69939,Jessica Harrison,Anne45@gmail.com,2540232555,93806 Murphy Avenue Apt. 919,Portsmouth,England,84007,UK,69.0,Male,Low,Regular
71803,Alicia Knight,Jennifer1@gmail.com,6262218202,9856 Meyers Road Apt. 698,Portsmouth,England,91967,UK,19.0,Female,High,Regular
78376,Ronald Chen,Nicole72@gmail.com,1796133281,6048 Charles Lake,Portsmouth,England,82975,UK,49.0,Male,Low,Regular
40654,Sara Rogers,Jeff99@gmail.com,2687947826,6048 Charles Knoll Suite 755,Portsmouth,England,3035,UK,69.0,Male,Low,Regular
42165,Daniel Hutchinson,Oscar54@gmail.com,9604443902,37402 Williams Stream Apt. 779,Portsmouth,England,29119,UK,46.0,Male,Low,Regular
63914,Joshua Noble,Diana25@gmail.com,5383491869,7467 Henry Port,Portsmouth,England,16385,UK,61.0,Male,High,Regular
42410,Anthony Rodriguez,Paula49@gmail.com,3745118170,585 Malik Lodge Suite 186,Portsmouth,England,83903,UK,21.0,Female,Low,Regular
48869,Ashley Watson,Christine23@gmail.com,3296155904,6088 Sandra Streets Suite 952,Portsmouth,England,38435,UK,41.0,Female,Low,Regular
99870,Timothy Benton,Thomas4@gmail.com,4754633123,424 Patton Parkways Apt. 545,Portsmouth,England,2916,UK,38.0,Male,Medium,Regular
47037,Mike Christensen,Olivia95@gmail.com,3605880512,753 Rachel Lodge Apt. 514,Portsmouth,England,92862,UK,59.0,Male,High,Regular
28381,Kimberly Evans,Claire78@gmail.com,8215497648,2445 Clayton Spur,Portsmouth,England,30007,UK,20.0,Male,High,Regular
23097,Michael Cole,Rachel75@gmail.com,6487484685,0777 Rebecca Junctions Apt. 015,Portsmouth,England,14668,UK,67.0,Male,Low,Regular
42540,Robin Jackson,James3@gmail.com,4258351481,8306 Daniel Parkways Suite 768,Portsmouth,England,62300,UK,43.0,Male,Medium,Regular
55388,Yolanda Martin,Emily94@gmail.com,2450716315,62142 Karen Motorway Apt. 324,Portsmouth,England,63093,UK,50.0,Male,Medium,Regular
98256,Steven Boyd,Sheryl18@gmail.com,5248581519,1719 Christina Heights Apt. 614,Portsmouth,England,43602,UK,26.0,Female,Low,Regular
90935,Raymond Avila,Christopher4@gmail.com,4298839653,374 Snyder Forges,Portsmouth,England,94428,UK,56.0,Female,Low,Regular
65701,Christopher Lopez,Derrick51@gmail.com,9286274243,57136 Martha Common Apt. 654,Portsmouth,England,11531,UK,66.0,Male,Medium,Regular
23713,Brent Gonzalez,Steven94@gmail.com,4886316564,881 Beth Branch,Portsmouth,England,55997,UK,31.0,Male,Low,Regular
66911,Anne Dominguez,Christian61@gmail.com,9654611085,704 Steven Falls,Portsmouth,England,71994,UK,24.0,Female,Low,Regular
38517,Todd Jackson,Daniel66@gmail.com,6019608363,85473 Palmer Island Suite 041,Portsmouth,England,43394,UK,54.0,Male,Low,Regular
65305,Jonathan Jenkins,Christina19@gmail.com,8524180606,890 Brooks Pine,Portsmouth,England,68300,UK,19.0,Male,High,Regular
31767,Brittany Ross,Lindsey16@gmail.com,3325233576,61440 Andrew Spurs,Portsmouth,England,15127,UK,28.0,Male,High,Regular
30637,Mike Orozco,Kimberly48@gmail.com,8321157649,8887 Alexander Avenue Apt. 947,Portsmouth,England,79514,UK,34.0,Female,High,Regular
96840,Susan Thomas,Bonnie80@gmail.com,9540868010,48415 Ferguson Passage,Portsmouth,England,85074,UK,65.0,Male,Low,Regular
25848,Emma Palmer,Lisa7@gmail.com,8200797318,416 Angel Manors,Portsmouth,England,42516,UK,40.0,Male,High,Regular
91172,Amanda Decker,Heather92@gmail.com,8187509611,569 James Heights Suite 460,Portsmouth,England,89908,UK,64.0,Female,High,Regular
77572,Jose Spencer,Amber67@gmail.com,8282194753,02936 Roy Village,Portsmouth,England,98771,UK,68.0,Female,High,Regular
46361,Priscilla Wiggins,Patricia51@gmail.com,3936281494,0430 Moody Divide Suite 144,Portsmouth,England,35203,UK,46.0,Male,High,Regular
62464,Michele Johnson,Melissa70@gmail.com,1946509510,622 Diana Circle Suite 748,Portsmouth,England,15160,UK,58.0,Female,High,Regular
74096,Robert Warren,Hannah73@gmail.com,1223810454,489 Kerr Island,Portsmouth,England,12030,UK,36.0,Male,Low,Regular
21399,Mario Smith,Joshua69@gmail.com,2206920632,192 Kimberly Shoals Apt. 984,Portsmouth,England,85340,UK,57.0,Male,High,Regular
39757,Lauren Hayes,Haley88@gmail.com,5845365608,726 Eaton Squares,Portsmouth,England,58226,UK,27.0,Female,Medium,Regular
90189,Maria Tucker,Amber14@gmail.com,1967923713,34455 Foster Coves,Portsmouth,England,44399,UK,35.0,Female,Medium,Regular
86575,Derek Green,Sara74@gmail.com,8380306730,33744 April Lock,Portsmouth,England,14086,UK,57.0,Female,Medium,Regular
19303,Rachel Hobbs,Daniel23@gmail.com,4797743217,02019 Meyers Ranch Apt. 226,Portsmouth,England,30346,UK,36.0,Male,Low,Regular
12911,Chelsea Cummings,Daniel55@gmail.com,9050662623,336 Sara Run,Portsmouth,England,27283,UK,69.0,Male,High,Regular
71257,Bryan Edwards,Gregory3@gmail.com,8840187601,816 Annette Shoals Suite 901,Portsmouth,England,94747,UK,59.0,Male,High,Regular
75456,Christopher Burgess,Tonya57@gmail.com,7162191577,707 Michael View,Portsmouth,England,87547,UK,38.0,Female,High,Regular
50574,James Church,Andrew57@gmail.com,8003867018,7645 Stewart Mountains,Portsmouth,England,52548,UK,46.0,Male,Low,Regular
81200,Tony Moon,Brandon73@gmail.com,2088509822,28526 Sanders Spurs,Portsmouth,England,15193,UK,24.0,Male,Medium,Regular
21381,Stanley Quinn,April67@gmail.com,5514223595,0517 Bernard Forges,Portsmouth,England,36935,UK,67.0,Male,Medium,Regular
71121,Heather Sloan,Taylor13@gmail.com,6417356036,55047 Ashley Common Apt. 748,Portsmouth,England,60085,UK,54.0,Female,High,Regular
64722,Richard Morales,Elizabeth40@gmail.com,3731576483,55900 Cassandra Hollow,Portsmouth,England,56647,UK,68.0,Male,Medium,Regular
59819,Christina Snow,Wendy95@gmail.com,1467710063,01292 Austin Valleys,Portsmouth,England,28089,UK,29.0,Male,Medium,Regular
57742,Lisa Tyler,John63@gmail.com,8205826469,4289 Reed Shoal Suite 250,Portsmouth,England,27018,UK,26.0,Male,Low,Regular
80071,Patricia Reese,Stephanie24@gmail.com,7797823025,2246 Lindsey Plains,Portsmouth,England,17549,UK,41.0,Female,Low,Regular
97683,Dr. Chad Lindsey,Kelsey82@gmail.com,6566997489,21033 Derrick Motorway,Portsmouth,England,57256,UK,31.0,Female,Low,Regular
51980,Victoria Short,Jessica97@gmail.com,7387148594,461 Jefferson Avenue Suite 363,Portsmouth,England,26528,UK,34.0,Female,High,Regular
11397,Tracy Baxter,Richard53@gmail.com,2810644301,88150 Brittany Stravenue,Portsmouth,England,49782,UK,29.0,Female,Low,Regular
35966,Jennifer Wright,Michael69@gmail.com,4332303526,9729 Krista Highway,Portsmouth,England,41418,UK,69.0,Male,Low,Regular
95925,Jesus Cole,Margaret59@gmail.com,5224669316,100 Jasmine Summit Apt. 567,Portsmouth,England,56239,UK,58.0,Male,Medium,Regular
56726,Scott Sampson II,Zachary50@gmail.com,2852994101,898 Waters Cliff,Portsmouth,England,50405,UK,38.0,Male,Medium,Regular
87729,Karen Short,Dominique52@gmail.com,6706684033,751 Larry Greens,Portsmouth,England,70189,UK,25.0,Female,Medium,Regular
